ID;Customer_ID;Month;Name;Age;SSN;Occupation;Annual_Income;Monthly_Inhand_Salary;Num_Bank_Accounts;Num_Credit_Card;Interest_Rate;Num_of_Loan;Type_of_Loan;Delay_from_due_date;Num_of_Delayed_Payment;Changed_Credit_Limit;Num_Credit_Inquiries;Credit_Mix;Outstanding_Debt;Credit_Utilization_Ratio;Credit_History_Age;Payment_of_Min_Amount;Total_EMI_per_month;Amount_invested_monthly;Payment_Behaviour;Monthly_Balance;Credit_Score
0x1602;CUS_0xd40;January;Aaron Maashoh;23;821-00-0265;Scientist;19114.12;1,82484E+16;3;4;3;4;Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan;3;7;11.27;40;_;809.98;2,68226E+16;22 Years and 1 Months;No;4,95749E+15;80.41529543900253;High_spent_Small_value_payments;3,12494E+16;Good
0x1603;CUS_0xd40;February;Aaron Maashoh;23;821-00-0265;Scientist;19114.12;;3;4;3;4;Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan;-1;;11.27;40;Good;809.98;3,1945E+15;NA;No;4,95749E+15;118.28022162236736;Low_spent_Large_value_payments;2,84629E+16;Good
0x1604;CUS_0xd40;March;Aaron Maashoh;-500;821-00-0265;Scientist;19114.12;;3;4;3;4;Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan;3;7;_;40;Good;809.98;2,86094E+15;22 Years and 3 Months;No;4,95749E+15;81.699521264648;Low_spent_Medium_value_payments;3,3121E+15;Good
0x1605;CUS_0xd40;April;Aaron Maashoh;23;821-00-0265;Scientist;19114.12;;3;4;3;4;Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan;5;4;6.27;40;Good;809.98;3,13779E+16;22 Years and 4 Months;No;4,95749E+15;199.4580743910713;Low_spent_Small_value_payments;2,23451E+16;Good
0x1606;CUS_0xd40;May;Aaron Maashoh;23;821-00-0265;Scientist;19114.12;1,82484E+16;3;4;3;4;Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan;6;;11.27;40;Good;809.98;2,47973E+16;22 Years and 5 Months;No;4,95749E+15;41.420153086217326;High_spent_Medium_value_payments;3,41489E+16;Good
0x1607;CUS_0xd40;June;Aaron Maashoh;23;821-00-0265;Scientist;19114.12;;3;4;3;4;Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan;8;4;9.27;40;Good;809.98;2,72623E+15;22 Years and 6 Months;No;4,95749E+15;62.430172331195294;!@9#%8;3,40479E+15;Good
0x1608;CUS_0xd40;July;Aaron Maashoh;23;821-00-0265;Scientist;19114.12;1,82484E+16;3;4;3;4;Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan;3;8_;11.27;40;Good;809.98;2,25376E+15;22 Years and 7 Months;No;4,95749E+15;178.3440674122349;Low_spent_Small_value_payments;2,44565E+15;Good
0x1609;CUS_0xd40;August;;23;#F%$D@*&8;Scientist;19114.12;1,82484E+16;3;4;3;4;Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan;3;6;11.27;40;Good;809.98;2,39338E+15;NA;No;4,95749E+15;24.785216509052056;High_spent_Medium_value_payments;3,58124E+16;Standard
0x160e;CUS_0x21b1;January;Rick Rothackerj;28_;004-07-5839;_______;34847.84;3,03799E+15;2;4;6;1;Credit-Builder Loan;3;4;5.42;20;Good;605.03;2,4464E+15;26 Years and 7 Months;No;1,88162E+16;104.291825168246;Low_spent_Small_value_payments;4,70691E+16;Standard
0x160f;CUS_0x21b1;February;Rick Rothackerj;28;004-07-5839;Teacher;34847.84;3,03799E+15;2;4;6;1;Credit-Builder Loan;7;1;7.42;20;Good;605.03;3,85508E+16;26 Years and 8 Months;No;1,88162E+16;40.39123782853101;High_spent_Large_value_payments;4,84591E+15;Good
